arodes_int_num	adress_forest	a_year	arodes_typ_cd
1704000743	17-04-1-01-71    -    -  	2023	ODDZ     
1704000751	17-04-1-01-71    -b   -00	2023	WYDZIEL  
1704000753	17-04-1-01-71    -c   -00	2023	WYDZIEL  
1704000759	17-04-1-01-71    -g   -00	2023	WYDZIEL  
1704000764	17-04-1-01-72    -    -  	2023	ODDZ     
1704000774	17-04-1-01-72    -g   -00	2023	WYDZIEL  
1704000776	17-04-1-01-72    -h   -00	2023	WYDZIEL  
1704000777	17-04-1-01-73    -    -  	2023	ODDZ     
1704000779	17-04-1-01-73    -a   -00	2023	WYDZIEL  
1704000781	17-04-1-01-73    -b   -00	2023	WYDZIEL  
1704000785	17-04-1-01-73    -d   -00	2023	WYDZIEL  
1704000789	17-04-1-01-73    -g   -00	2023	WYDZIEL  
1704000791	17-04-1-01-73    -f   -00	2023	WYDZIEL  
1704000792	17-04-1-01-74    -    -  	2023	ODDZ     
1704000794	17-04-1-01-74    -a   -00	2023	WYDZIEL  
1704000796	17-04-1-01-74    -b   -00	2023	WYDZIEL  
1704000800	17-04-1-01-74    -f   -00	2023	WYDZIEL  
1704000802	17-04-1-01-74    -g   -00	2023	WYDZIEL  
1704000804	17-04-1-01-74    -d   -00	2023	WYDZIEL  
1704000806	17-04-1-01-74    -i   -00	2023	WYDZIEL  
1704000808	17-04-1-01-74    -l   -00	2023	WYDZIEL  
1704000812	17-04-1-01-74    -j   -00	2023	WYDZIEL  
1704000814	17-04-1-01-74    -k   -00	2023	WYDZIEL  
1704000816	17-04-1-01-74    -p   -00	2023	WYDZIEL  
1704000818	17-04-1-01-74    -r   -00	2023	WYDZIEL  
1704000819	17-04-1-01-75    -    -  	2023	ODDZ     
1704000821	17-04-1-01-75    -a   -00	2023	WYDZIEL  
1704000823	17-04-1-01-75    -c   -00	2023	WYDZIEL  
1704000825	17-04-1-01-75    -d   -00	2023	WYDZIEL  
1704000827	17-04-1-01-75    -g   -00	2023	WYDZIEL  
1704000831	17-04-1-01-75    -h   -00	2023	WYDZIEL  
1704000837	17-04-1-01-75    -k   -00	2023	WYDZIEL  
1704000843	17-04-1-01-75    -o   -00	2023	WYDZIEL  
1704000845	17-04-1-01-75    -p   -00	2023	WYDZIEL  
1704000847	17-04-1-01-75    -r   -00	2023	WYDZIEL  
1704000849	17-04-1-01-75    -s   -00	2023	WYDZIEL  
1704000850	17-04-1-01-76    -    -  	2023	ODDZ     
1704000852	17-04-1-01-76    -a   -00	2023	WYDZIEL  
1704000854	17-04-1-01-76    -b   -00	2023	WYDZIEL  
1704000856	17-04-1-01-76    -c   -00	2023	WYDZIEL  
1704000858	17-04-1-01-76    -d   -00	2023	WYDZIEL  
1704000860	17-04-1-01-76    -f   -00	2023	WYDZIEL  
1704000866	17-04-1-01-76    -j   -00	2023	WYDZIEL  
1704000868	17-04-1-01-76    -k   -00	2023	WYDZIEL  
1704000869	17-04-1-01-77    -    -  	2023	ODDZ     
1704000871	17-04-1-01-77    -c   -00	2023	WYDZIEL  
1704000873	17-04-1-01-77    -d   -00	2023	WYDZIEL  
1704000877	17-04-1-01-77    -g   -00	2023	WYDZIEL  
1704000881	17-04-1-01-77    -h   -00	2023	WYDZIEL  
1704000882	17-04-1-01-78    -    -  	2023	ODDZ     
1704000894	17-04-1-01-78    -c   -00	2023	WYDZIEL  
1704000896	17-04-1-01-78    -d   -00	2023	WYDZIEL  
1704000898	17-04-1-01-78    -f   -00	2023	WYDZIEL  
1704000899	17-04-1-01-79    -    -  	2023	ODDZ     
1704000901	17-04-1-01-79    -a   -00	2023	WYDZIEL  
1704000903	17-04-1-01-79    -b   -00	2023	WYDZIEL  
1704000905	17-04-1-01-79    -d   -00	2023	WYDZIEL  
