site_int_num	arodes_int_num	prot_site_cd	prot_site_state	a_year
1315	1704004594	91E0	A	2023
1316	1704004601	9170	C	2023
1311	1704004625	91D0	B	2023
707	1704004630	91D0	C	2023
709	1704004650	91D0	C	2023
710	1704004659	91E0	C	2023
711	1704004687	9190	C	2023
719	1704004697	9170	C	2023
720	1704004699	9170	C	2023
712	1704004703	9170	B	2023
721	1704004706	9190	C	2023
722	1704004718	9190	C	2023
726	1704004742	9170	C	2023
727	1704004744	9170	C	2023
729	1704004762	91D0	C	2023
730	1704004774	91D0	C	2023
731	1704004783	9170	C	2023
1457	1704004916	91F0	C	2023
735	1704004937	9170	C	2023
737	1704004948	9170	C	2023
739	1704004950	9170	C	2023
740	1704004969	91D0	C	2023
741	1704005052	9170	C	2023
742	1704005054	9170	B	2023
743	1704005056	9170	C	2023
744	1704005059	9170	B	2023
745	1704005061	9170	C	2023
748	1704005070	9170	B	2023
749	1704005072	9170	C	2023
751	1704005078	9170	B	2023
754	1704005085	9170	C	2023
760	1704005087	9170	C	2023
755	1704005089	9170	C	2023
762	1704005091	9170	C	2023
763	1704005114	9170	B	2023
766	1704005124	9170	B	2023
764	1704005126	9170	B	2023
768	1704005133	9170	C	2023
769	1704005140	9170	C	2023
770	1704005165	9170	C	2023
771	1704005167	9170	C	2023
1349	1704005172	9170	C	2023
773	1704005174	9170	C	2023
836	1704005176	9170	C	2023
774	1704005178	9170	C	2023
775	1704005180	9170	C	2023
776	1704005189	9170	C	2023
780	1704005197	9170	B	2023
781	1704005199	9170	C	2023
782	1704005204	9170	C	2023
783	1704005210	9170	C	2023
784	1704005212	9170	C	2023
785	1704005214	9170	C	2023
786	1704005216	9170	C	2023
787	1704005232	9170	C	2023
788	1704005234	9170	C	2023
790	1704005238	9170	C	2023
791	1704005245	9170	B	2023
792	1704005253	9170	C	2023
1285	1704005269	9170	C	2023
798	1704005289	9170	C	2023
801	1704005301	9170	C	2023
802	1704005306	9170	C	2023
803	1704005314	9170	B	2023
829	1704005330	91E0	B	2023
1461	1704005365	91D0	C	2023
805	1704005393	9170	C	2023
806	1704005518	9170	C	2023
807	1704005637	9170	C	2023
809	1704005652	9170	C	2023
810	1704005671	9170	C	2023
812	1704005729	91D0	C	2023
813	1704005731	91D0	C	2023
814	1704005733	91D0	C	2023
816	1704005785	91E0	C	2023
819	1704005804	91E0	C	2023
820	1704005806	91E0	A	2023
821	1704005838	91E0	A	2023
822	1704005842	91E0	C	2023
823	1704005846	91E0	C	2023
824	1704005848	91E0	C	2023
825	1704005850	91E0	C	2023
826	1704005865	91E0	C	2023
830	1704005885	9170	C	2023
831	1704005887	9170	C	2023
840	1704005890	9170	C	2023
842	1704005896	9170	C	2023
844	1704005898	9170	C	2023
846	1704005900	9170	C	2023
848	1704005902	9170	C	2023
855	1704005906	9170	C	2023
849	1704005910	9170	C	2023
853	1704005914	9170	C	2023
854	1704005916	9170	C	2023
847	1704005922	9170	C	2023
845	1704005944	9170	C	2023
895	1704005974	9170	C	2023
924	1704005990	9170	C	2023
1228	1704006068	9190	C	2023
857	1704006105	9170	B	2023
858	1704006109	9170	C	2023
859	1704006111	9170	C	2023
860	1704006116	9170	C	2023
861	1704006118	9170	B	2023
863	1704006123	9170	C	2023
1465	1704006133	9170	C	2023
1464	1704006137	9170	C	2023
1466	1704006157	9170	B	2023
867	1704006159	9170	C	2023
868	1704006161	9170	B	2023
869	1704006165	9170	C	2023
870	1704006168	9170	C	2023
871	1704006170	9170	B	2023
872	1704006173	9170	B	2023
873	1704006179	9170	B	2023
874	1704006182	9170	C	2023
875	1704006188	9170	C	2023
876	1704006195	9170	C	2023
877	1704006199	9170	C	2023
878	1704006201	9170	B	2023
879	1704006204	9170	B	2023
880	1704006206	9170	C	2023
881	1704006208	9170	B	2023
882	1704006210	9170	C	2023
883	1704006212	9170	C	2023
884	1704006215	9170	B	2023
885	1704006217	9170	C	2023
886	1704006219	9170	B	2023
887	1704006224	9170	C	2023
888	1704006226	9170	C	2023
889	1704006228	9170	C	2023
890	1704006230	9170	B	2023
891	1704006247	9170	C	2023
