arodes_int_num	a_year	site_nr	measure_cd	urgency	cutting_nr	cutting_area	large_timber_perc	cue_rank_order
1704001372	2023	1	CP       	N		0.73		4
1704001374	2023	1	TPP      	N		0.49		1
1704001444	2023	1	TWP      	N		5.0		1
1704001457	2023	1	TPP      	N		1.21		1
1704001513	2023	1	TPP      	N		2.35		1
1704001108	2023	1	IB       	N		2.84	95	1
1704001519	2023	1	TWP      	N		2.38		1
1704001521	2023	1	TPP      	N		0.67		1
1704001108	2023	1	AGROT    	N		2.84		2
1704001108	2023	1	ODN-ZRB  	N		2.84		3
1704001523	2023	1	TPP      	N		8.86		1
1704001540	2023	1	TPP      	N		2.16		1
1704001110	2023	1	IB       	N		1.14	95	1
1704001542	2023	1	TWP      	N		0.62		1
1704001530	2023	1	IB       	N		0.19	95	1
1704001530	2023	2	IB       	N		1.68	95	4
1704001530	2023	1	AGROT    	N		0.19		2
1704001530	2023	2	AGROT    	N		1.68		5
1704001530	2023	1	ODN-ZRB  	N		0.19		3
1704001530	2023	2	ODN-ZRB  	N		1.68		6
1704001547	2023	1	TPP      	N		3.45		1
1704001110	2023	1	AGROT    	N		1.14		2
1704001532	2023	1	TPP      	N		3.56		1
1704001110	2023	1	ODN-ZRB  	N		1.14		3
1704001112	2023	1	CW       	N		1.58		1
1704001112	2023	1	CP       	N		0.56		2
1704001536	2023	1	IB       	N		1.99	95	1
1704001536	2023	1	AGROT    	N		1.99		2
1704001536	2023	1	ODN-ZRB  	N		1.99		3
1704001114	2023	1	CW       	N		1.44		1
1704001538	2023	1	TPP      	N		4.44		1
1704001114	2023	1	CP       	N		0.58		2
1704001119	2023	1	TPP      	N		0.89		1
1704001549	2023	1	TPP      	N		6.95		1
1704001121	2023	1	IIIA     	N		5.39	30	1
1704001121	2023	1	AGROT    	N		1.62		2
1704001121	2023	1	ODN-ZŁOŻ 	N		1.62		3
1704001553	2023	1	TWP      	N		1.17		1
1704001128	2023	1	TPP      	N		1.2		1
1704001555	2023	1	TPP      	N		1.28		1
1704001557	2023	1	TPP      	N		1.13		1
1704001130	2023	1	TPP      	N		6.15		1
1704001559	2023	1	TPP      	N		0.97		1
1704001561	2023	1	TPP      	N		5.13		1
1704001563	2023	1	TWP      	N		0.72		1
1704001629	2023	1	CP       	N		3.35		1
1704001633	2023	1	TWP      	N		0.89		1
1704001864	2023	1	TPP      	N		1.84		1
1704001638	2023	1	TPP      	N		6.92		1
1704001644	2023	1	IIIB     	N		3.96	50	1
1704001644	2023	1	AGROT    	N		1.19		2
1704001644	2023	1	ODN-ZŁOŻ 	N		1.19		3
1704001644	2023	1	PIEL     	N		1.2		4
1704001646	2023	1	IIIB     	N		3.35	50	1
1704001646	2023	1	AGROT    	N		1.0		2
1704001646	2023	1	ODN-ZŁOŻ 	N		1.0		3
1704001646	2023	1	CW       	N		1.0		4
1704001648	2023	1	TPP      	N		1.94		1
1704001655	2023	1	IIIBU    	N		2.4	95	1
1704001655	2023	1	AGROT    	N		0.96		2
1704001655	2023	1	ODN-ZŁOŻ 	N		0.96		3
1704001655	2023	1	CP       	N		1.44		4
1704001657	2023	1	IB       	N		0.61	100	1
1704001657	2023	1	AGROT    	N		0.61		2
1704001657	2023	1	ODN-ZRB  	N		0.61		3
1704001659	2023	1	TPP      	N		1.0		1
1704001663	2023	1	IIIBU    	N		1.13	95	1
1704001663	2023	1	AGROT    	N		0.45		2
1704001663	2023	1	ODN-ZŁOŻ 	N		0.45		3
