arodes_int_num	a_year	density_cd	mixture_cd	standdensity_index	tree_stock_cd	st_rank_order_act	storey_cd
1704000378	2023			0.6		2	PODSZ   
1704000378	2023	UM  	GRP 	0.8	UM PRZ 	1	DRZEW   
1704000382	2023			0.6		2	PODSZ   
1704000382	2023	UM  	DKĘP	0.8	UM PRZ 	1	DRZEW   
1704000386	2023			0.4		2	PODSZ   
1704000386	2023	UM  		0.9	UM DUŻE	1	DRZEW   
1704000388	2023			0.6		2	PODSZ   
1704000388	2023	UM  		0.8	UM DUŻE	1	DRZEW   
1704000391	2023			0.4		2	PODSZ   
1704000391	2023	UM  		1.0	UM DUŻE	1	DRZEW   
1704000393	2023			0.6		2	PODSZ   
1704000393	2023	UM  		0.8	UM DUŻE	1	DRZEW   
1704000395	2023	UM  		1.0	UM PRZ 	1	DRZEW   
1704000395	2023			0.3		2	PODSZ   
1704000397	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000397	2023			0.8		2	PODSZ   
1704000399	2023			0.7		2	PODSZ   
1704000399	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000402	2023	UM  		1.0	UM PRZ 	1	DRZEW   
1704000402	2023			0.5		2	PODSZ   
1704000404	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000404	2023			0.4		2	PODSZ   
1704000406	2023	PRZ 	DKĘP	0.7	PRZ LUŹ	1	DRZEW   
1704000406	2023			0.7		2	PODSZ   
1704000414	2023		KĘP 	0.8		1	DRZEW   
1704000414	2023					2	PRZES   
1704000420	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000116	2023	UM  	KĘP 	1.0	UM DUŻE	1	DRZEW   
1704000116	2023			0.4		2	PODSZ   
1704000116	2023					3	PRZES   
1704000118	2023			0.2		2	PODSZ   
1704000118	2023	UM  		0.8	UM PRZ 	1	DRZEW   
1704000120	2023			0.6		2	PODSZ   
1704000120	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000124	2023	UM  	GRP 	0.7	UM PRZ 	1	DRZEW   
1704000124	2023			0.5		2	PODSZ   
1704000126	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000126	2023			0.8		2	PODSZ   
1704000128	2023		KĘP 	1.0		1	DRZEW   
1704000128	2023					2	PRZES   
1704000130	2023			0.7		2	PODSZ   
1704000130	2023	UM  		0.7	UM PRZ 	1	DRZEW   
1704000132	2023			0.6		2	PODSZ   
1704000132	2023	PRZ 	GRP 	0.7	PRZ UM 	1	DRZEW   
1704000134	2023	UM  	KĘP 	0.7	UM PRZ 	1	DRZEW   
1704000134	2023			0.3		2	PODSZ   
1704000136	2023			0.6		2	PODSZ   
1704000136	2023	UM  		0.9	UM PRZ 	1	DRZEW   
1704000139	2023	PRZ 	GRP 	0.8	PRZ UM 	1	DRZEW   
